LEI,Name
2138001M3QU1TG2HZG36,PERMIRA ADVISERS LLP
2138001M5OB5OE11NS50,BANK MANDIRI (EUROPE) LIMITED
2138001M7RUSIXTABC71,MEDINVESTMENT BANK SAL
2138001MRGNB2OZX6H38,HOTEL INVESTMENT PARTNERS S.A.
2138001MSA39Q44QTA18,სს თიბისი ბანკი
2138001N4NMSYRFXWR88,BANK OF ENGLAND ASSET PURCHASE FACILITY FUND LIMITED
2138001NBPMV81X1IP47,AUGUSTA & CO LIMITED
2138001OCJ42T73BY742,FIRST NATIONAL BANK GHANA LIMITED
2138001OFRC7WD2CK816,GENEVA CAPITAL MANAGEMENT LLC
2138001OK25UIN6NL309,PREVIP FONDO PENSIONE
2138001Q77JDLESS4Y50,"بنك اتش اس بى سى مصر"" شركة مساهمة مصرية"
2138001QZGOK42KGQM03,NATIONAL BANK OF EGYPT
2138001S6HODIT2QSE84,SWISS FINANCE CORPORATION LIMITED
2138001SIIX6F55L4L72,TRUE POTENTIAL INVESTMENTS LLP
2138001TG1S5MH96FF83,TSH GROUP HOLDING B.V.
2138001UDRAOJVSWVE59,IBANFIRST LIMITED
2138001UYFF4L8FOMN55,AXIS CAPITAL MARKETS LIMITED
2138001V76F66ASAJT81,HARGREAVES LANSDOWN STOCKBROKERS LTD
2138001VBBD3M1ADWB86,CITY HOUSE INVESTORS LIMITED
2138001WO21Z3B8Y8K20,LLOYDS BANK GMBH
2138001WTFJROEZTMX89,GMSA INVESTMENTS LIMITED
2138001WXZQOPMPA3D50,TRADEWEB EUROPE LIMITED
2138001X3KFOKGCXHA98,YAZAKI EUROPE MIDDLE EAST AFRICA
2138001XORMFD3NPVT36,FITCH MEXICO SA DE CV
2138001Y512RXGN3R994,THE BANK OF NEW YORK MELLON SA/NV – AMSTERDAM BRANCH
2138001YBO7CJNQOEE37,BANCO MEDIOLANUM SA
2138001Z5O6ZHTQLYW13,SNB GLOBAL LIMITED
2138002196AJP3QW9326,GOJI FINANCIAL SERVICES LIMITED
21380021TLO2CMFTYT54,ЕЛАНА ФОНД МЕНИДЖМЪНТ
21380023G8LF55V46281,EMR GROUP LIMITED
21380023ISLSM3JF7B32,WBS CLIENT NOMINEES LIMITED
21380023XILSCPFDSU24,WORLDWIDE CURRENCIES LIMITED
213800246DSYDX1BMF80,KEXIM BANK (UK) LIMITED
213800247F9DRTHRPW30,NINETY ONE FUND MANAGERS UK LIMITED
21380024WQ7CDTHQ8Q92,ΠΗΓΑΣΟΣ ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ Α.Ε.Π.Ε.Υ.
21380025PU3NPIS4NF77,恒生證券有限公司
21380025TE85ILLXNU42,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA LIMITED
21380026I4QYWUXSXN60,CARPHONE WAREHOUSE EUROPE LIMITED
21380026K8GC4PFCDP05,PUBLICIS FINANCE SERVICES
21380026MQCOVUWBIC85,HSBC PROVIDENT FUND TRUSTEE (HONG KONG) LIMITED
21380026NZGS8JYYY575,RFC AMBRIAN LIMITED
21380027LW8AF6I1WA03,ROEMER CAPITAL (EUROPE) LIMITED
21380027R6KMKXGKN581,AEON PAYMENT TECHNOLOGIES LIMITED
21380028ATJ79OTA9W17,SAUDI TELECOM COMPANY
21380029O1RSZIAVOR95,UCB BIOPHARMA
21380029WFT97C1ZX319,汇丰晋信基金管理有限公司
2138002A94VOQHNXKL95,SGM - FOREIGN EXCHANGE LIMITED
2138002AG4YCTF6Y6C17,ITALTEL S.P.A.
2138002AL4BZU16PET59,RATHBONES ASSET MANAGEMENT LIMITED
2138002D8485FW4F4A02,BASISFINANS A/S
2138002DFHCS6QER7P29,AL DAR FOR EXCHANGE WORKS
2138002DP5F5M9EFRX54,SWAPAGENT LIMITED
2138002DQL2YD4S8HE87,(بنك دبي التجاري (ش.م.ع
2138002DUZUTW7A25X27,湖北随州曾都汇丰村镇银行有限责任公司
2138002EMG9DRRXUXS82,LDC (MANAGERS) LIMITED
2138002ENGNNMA7WK626,SCHRODER UNIT TRUSTS LIMITED
2138002EVRD5TWEC3X33,AMSTEL SECURITIES LLP
2138002FGKUFD9BPZ711,MAUBANK LTD
2138002FX1MYCA5ZZH32,CALEDONIA INVESTMENTS PLC
2138002GAQFVOOCXUQ35,Société Internationale de Télécommunications Aéronautiques
2138002GH184KUKM1248,交銀國際證券有限公司
2138002GI1GKI3V4UG48,BROKERTEC EUROPE LIMITED
2138002GNA6VJZ2H6E97,CREST DEPOSITORY LIMITED
2138002GY7ZHKWT5WY33,SIGMA PRIVATE OFFICE LIMITED
2138002H4QLTWIPNVA44,華夏基金(香港)有限公司
2138002I8ITUA9OJ4Q72,Boson Alfa Ltd
2138002J6O3FSP59QS18,BARING FUND MANAGERS LIMITED
2138002JBPQSLWI1FC03,GROSVENOR FINANCIAL ASSET MANAGEMENT LIMITED
2138002KSVYO8VKTEK05,BANK OF AFRICA-NIGER
2138002L319H1ZIHGN15,KOTAK MAHINDRA (UK) LIMITED
2138002LI3FHE8CMMU59,ROYAL LONDON UNIT TRUST MANAGERS LIMITED
2138002M5U5K4OUMVV62,RINGKJØBING LANDBOBANK. AKTIESELSKAB
2138002MOUW7MFTDEF84,JOHNSON CONTROLS INTERNATIONAL
2138002NCURQ4WOF8719,HOLBEIN PARTNERS LLP
2138002OAS93SFYSFT13,滙豐金融期貨(香港)有限公司
2138002P5RNKC5W2JZ46,TESCO PLC
2138002PETQIOI6YQU40,FONDY LTD
2138002PRXSLSTN6CN40,ICAP FUTURES (AUSTRALIA) PTY LTD
2138002PT1Z3N88ITP70,الشركة الكويتية للمقاصة / مساهمة المقفلة
2138002PV74I1EAGGO59,"ZENIT KAPITAL O.C.P., A.S."
2138002PVBMEHILJ1340,Mitsubishi UFJ Investor Services & Banking (Luxembourg) S.A.
2138002QGPYHPA7YJZ93,BAVARIA & CIA SCA
2138002R77PYY7AEKF25,JAMES HAMBRO & PARTNERS LLP
2138002RV6AUUX19F397,הבנק הבינלאומי הראשון לישראל בעמ
2138002TJAEVDAI8BF78,SAXO CAPITAL MARKETS UK LTD
2138002U29YTPPRF1O03,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DE LA GUINÉE. - SA
2138002UA2YDWN1XF943,ICC-UK LIMITED
2138002V98D1E3TINN53,Stichting Custodian Modulr Finance
2138002VQRM34SEUVL84,興證國際證券有限公司
2138002VSUCA8PMPE555,GIVAUDAN INTERNATIONAL SA
2138002XB6T14IGKGU43,ICICI BANK UK PLC
2138002XZG664PVZFZ92,AXA ASSICURAZIONI SPA
2138002Y1HNQLA8IG706,DUDLEY BUILDING SOCIETY
2138002Y3WMK6RZS8H90,FIRST ABU DHABI BANK P.J.S.C.
2138002YAB7Z9KO21397,MONOOVA GLOBAL PAYMENTS PTY LTD
2138002YRB54CNYA1E73,GOTTEX BROKERS SA
2138002ZGMX41L9ZCN58,HUNTING KNIGHTSBRIDGE HOLDINGS LIMITED
2138002ZKYBVIEH1MI41,GLOBAL INVESTMENT STRATEGY UK LIMITED
2138002ZW2HMFTRYF147,BANCA DI CREDITO COOPERATIVO DEL METAURO - SOCIETA' COOPERATIVA
21380031335M4LHQJ436,LIQUIDNET CANADA INC.
21380031YAV2JTNT6X10,ARLINGTON GROUP ASSET MANAGEMENT LIMITED
21380032DOSHV6AFSI63,OBAM N.V.
2138003319Y7NM75FG53,"Galp Energia, SGPS, S.A."
21380033UO9CD6G1C848,بنك البحر المتوسط ش.م.ل
2138003488D1LGCBRV23,IFAST GLOBAL BANK LIMITED
21380034DOJHZ2T7BN13,FORTEN ASSET MANAGEMENT LIMITED
21380035C5N1U63AZA68,TRADE NATION FINANCIAL UK LTD
2138003627XTQM6CSN30,Amundi Austria GmbH
2138003692UO9DKNP157,LHCM LTD
21380036BEFEQ3ZRP871,W H IRELAND LIMITED
21380036LA1ULHP1FI20,VOLT TECHNOLOGIES HOLDINGS LIMITED
21380037PNZOFQCZY486,RESERVE BANK OF MALAWI
21380037YFKONTT23854,HRT FINANCIAL LP
21380038NTY1PVJ3IY34,"ARBUTHNOT LATHAM & CO., LIMITED"
21380038URSV8JOD6I20,MDRN-FX SERVICES LIMITED
21380038XUUU6JI5WI02,NINETY ONE GUERNSEY LIMITED
213800398WCKXP4LS328,NAOS ASSET MANAGEMENT LIMITED
21380039DXZZIN38WR68,ZEMPLER BANK LIMITED
2138003A5Q1M7ANOUD76,IG GROUP HOLDINGS PLC
2138003BPEJKCL54BL15,(ΠΡΙΛΙΟΥΜ) PRELIUM ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ
2138003CSNVJEPFZ3U52,PRINCIPALITY BUILDING SOCIETY
2138003E7UBOEXP61F19,法銀巴黎證券股份有限公司
2138003GCEENOS7F9B70,APEX GROUP FIDUCIARY SERVICES LIMITED
2138003GMKAIWQ1PGY37,WALTER SCOTT & PARTNERS LIMITED
2138003H9ZPU1CLHW410,THE PENTECOSTAL CREDIT UNION LIMITED
2138003HSB2WUIM4TH48,FONDO PENSIONE PER IL PERSONALE DELL'EX BANCA DI ROMA
2138003HW6485HGVSH88,ICBC (LONDON) PLC
2138003ID8XMMFINHI31,COLUMBIA THREADNEEDLE REP AM LIMITED
2138003IEBBQGQOFSP42,INTERBANK FINANCIAL SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
2138003IGGAUDLPNC244,IZOLA BANK P.L.C.
2138003ITQC6LMRHGV74,JLT BENEFIT SOLUTIONS LIMITED
2138003J5QNXXY2V3W55,АДАМАНТ КЕПИТЪЛ ПАРТНЪРС
